id;nombre;apellido;celular;correo
1;Juan;Pérez;3211234567;jperez@gmail.com
2;María;Gonzalez;3102345678;mgonzalez@gmail.com
3;Carlos;Sanchez;3153456789;csanchez@gmail.com
4;Ana;Ramírez;3184567890;aramirez@gmail.com
5;Pedro;Martínez;3005678901;pmartinez@gmail.com
6;Laura;Hernández;3046789012;lhernandez@gmail.com
7;José;García;3017890123;jgarcia@gmail.com
8;Sofía;Rodríguez;3148901234;srodriguez@gmail.com
9;Diego;Torres;3029012345;dtorres@gmail.com
10;Gabriela;López;3171234567;glopez@gmail.com
